model,prompt,cwe,n,accuracy,recall,specificity,precision,f1
gpt-4.1-mini,cot,CWE-327,246,0.959349593495935,0.9769230769230769,0.9396551724137931,0.9477611940298507,0.962121212121212
gpt-4.1-mini,cot,CWE-328,236,0.6949152542372882,0.5116279069767442,0.9158878504672897,0.88,0.6470588235294118
gpt-4.1-mini,cot,CWE-330,493,0.8640973630831643,0.9954128440366973,0.76,0.7667844522968198,0.8662674650698603
gpt-4.1-mini,cot,CWE-614,67,0.9402985074626866,0.9444444444444444,0.9354838709677419,0.9444444444444444,0.9444444444444444
gpt-4.1-mini,cot,CWE-643,35,0.9428571428571428,1,0.9,0.8823529411764706,0.9375
gpt-4.1-mini,cot,CWE-78,251,0.900398406374502,0.9285714285714286,0.872,0.8796992481203008,0.9034749034749036
gpt-4.1-mini,cot,CWE-79,455,0.9230769230769231,0.9796747967479674,0.8564593301435407,0.8892988929889298,0.9323017408123789
gpt-4.1-mini,cot,CWE-89,504,0.9265873015873016,1,0.8405172413793104,0.8802588996763754,0.9363166953528399
gpt-4.1-mini,cot,CWE-90,59,0.8983050847457628,1,0.8125,0.8181818181818182,0.9
gpt-5,zero-shot,CWE-22,268,0.8768656716417911,0.8045112781954887,0.9481481481481482,0.9385964912280702,0.8663967611336033
gpt-5,zero-shot,CWE-327,246,0.8414634146341463,0.8846153846153846,0.7931034482758621,0.8273381294964028,0.8550185873605948
gpt-5,zero-shot,CWE-328,236,0.7372881355932204,0.6821705426356589,0.8037383177570093,0.8073394495412844,0.7394957983193278
gpt-5,zero-shot,CWE-330,493,0.8194726166328601,0.6238532110091743,0.9745454545454545,0.951048951048951,0.7534626038781164
gpt-5,zero-shot,CWE-614,67,0.9701492537313433,0.9444444444444444,1,1,0.9714285714285714
gpt-5,zero-shot,CWE-643,35,0.9714285714285714,1,0.95,0.9375,0.967741935483871
gpt-5,zero-shot,CWE-78,251,0.9282868525896414,0.9603174603174603,0.896,0.9029850746268657,0.9307692307692308
gpt-5,zero-shot,CWE-79,455,0.9494505494505494,0.991869918699187,0.8995215311004785,0.9207547169811321,0.9549902152641878
gpt-5,zero-shot,CWE-89,504,0.9464285714285714,1,0.8836206896551724,0.9096989966555183,0.9527145359019265
gpt-5,zero-shot,CWE-90,59,0.9152542372881356,1,0.84375,0.84375,0.9152542372881356
gpt-5,few-shot,CWE-22,268,0.8992537313432836,0.8571428571428571,0.9407407407407408,0.9344262295081968,0.8941176470588236
gpt-5,few-shot,CWE-327,246,0.8658536585365854,0.9538461538461539,0.7672413793103449,0.8211920529801324,0.8825622775800712
gpt-5,few-shot,CWE-328,236,0.7457627118644068,0.7209302325581395,0.7757009345794392,0.7948717948717948,0.7560975609756098
gpt-5,few-shot,CWE-330,493,0.8742393509127789,0.8256880733944955,0.9127272727272727,0.8823529411764706,0.8530805687203792
