model,prompting_type,cwe,tp,fp,tn,fn,accuracy,precision,recall,f1,tp_fpm,fp_fpm,tn_fpm,fn_fpm,recall_fpm,specificity_fpm,precision_fpm,bal_accuracy_fpm,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
gpt-4.1-mini,zero-shot,CWE-79,219,76,133,27,0.7736,0.7424,0.8902,0.8096,219,76,39,1,0.9955,0.3391,0.7424,0.6673,1353.8328,0.0000,3.8806,0.0005,0.1835,0.7452,0
gpt-4.1-mini,zero-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,1059.8333,0.0000,4.0000,0.0004,0.0155,0.6980,0
gpt-4.1-mini,zero-shot,CWE-643,14,6,14,1,0.8000,0.7000,0.9333,0.8000,14,6,6,0,1.0000,0.5000,0.7000,0.7500,1100.2692,0.0000,3.7692,0.0004,0.0116,0.6555,0
gpt-4.1-mini,zero-shot,all,1159,316,966,173,0.8129,0.7858,0.8701,0.8258,1159,316,128,1,0.9991,0.2883,0.7858,0.6437,1232.4501,0.0000,3.9196,0.0005,0.8008,0.7889,0
gpt-4.1,cot,CWE-22,114,5,130,19,0.9104,0.9580,0.8571,0.9048,114,5,89,4,0.9661,0.9468,0.9580,0.9565,1356.5330,0.0000,520.4057,0.0069,1.4578,6.4570,0
gpt-4.1,cot,CWE-328,87,0,107,42,0.8220,1.0000,0.6744,0.8056,87,0,0,2,0.9775,0.0000,1.0000,0.4888,1315.5393,0.0000,417.8764,0.0060,0.5317,5.7782,0
gpt-4.1,cot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,1477.3308,0.0000,389.1385,0.0061,0.7888,5.0996,0
gpt-4.1,cot,CWE-78,115,9,116,11,0.9203,0.9274,0.9127,0.9200,115,9,62,0,1.0000,0.8732,0.9274,0.9366,1047.8978,0.0000,544.1828,0.0064,1.1996,6.7269,0
gpt-4.1,cot,CWE-89,196,7,225,76,0.8353,0.9655,0.7206,0.8253,196,7,105,0,1.0000,0.9375,0.9655,0.9688,1011.5909,0.0000,500.4123,0.0060,1.8562,6.1297,0
gpt-4.1,cot,CWE-330,218,1,274,0,0.9980,0.9954,1.0000,0.9977,218,1,22,0,1.0000,0.9565,0.9954,0.9783,1341.0415,0.0000,422.4689,0.0061,1.4609,5.7655,0
gpt-4.1,cot,CWE-90,24,2,30,3,0.9153,0.9231,0.8889,0.9057,24,2,15,0,1.0000,0.8824,0.9231,0.9412,1265.6098,0.0000,490.6341,0.0065,0.2647,6.3560,0
gpt-4.1,cot,CWE-79,220,18,191,26,0.9033,0.9244,0.8943,0.9091,220,18,97,0,1.0000,0.8435,0.9244,0.9217,1371.8328,0.0000,523.0866,0.0069,2.3210,6.9501,0
gpt-4.1,cot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,1077.8333,0.0000,336.5278,0.0048,0.1745,4.6069,0
gpt-4.1,cot,CWE-643,14,1,19,1,0.9429,0.9333,0.9333,0.9333,14,1,11,0,1.0000,0.9167,0.9333,0.9583,1118.2692,0.0000,454.9615,0.0059,0.1528,5.5509,0
